Date,ASTRAL.BO,AXISBANK.BO,BAJFINANCE.BO,BEL.BO,BLUEDART.BO,CROMPTON.BO,DIVISLAB.BO,ESCORTS.BO,GAIL.BO,GLENMARK.NS,HDFC.BO,HDFCBANK.BO,ICICIBANK.BO,INFY.BO,KOTAKBANK.BO,LTTS.BO,PAGEIND.BO,RELIANCE.BO,SBIN.BO,TCS.BO,^BSESN
30-01-2018,622.960022,593.4000244,1679.800049,177.25,4674.600098,241.6000061,1084.849976,833.2000122,178.8562927,615.7999878,1933.25,999.4249878,352.6000061,584.8499756,1089.550049,1278.300049,21657.65039,949.25,312.8500061,1576.849976,36033.73047
31-01-2018,642.3599854,593.4000244,1677.5,169.3999939,4673.649902,248.6999969,1036.449951,813.0999756,179.3625488,606.2000122,1955.699951,1003.174988,352.9500122,575.3250122,1109.75,1207.099976,21571.05078,961.1500244,312.75,1555.875,35965.01953
01-02-2018,632.2800293,590.2000122,1731.5,161.8999939,4644.649902,253.1000061,1040.949951,871.9500122,182.3062897,588.1500244,1967.550049,996.125,345.75,572.25,1120.300049,1304.550049,21290.25,944.0999756,305.5499878,1569.449951,35906.66016
02-02-2018,628.8400269,564.9500122,1629.25,152.0500031,4627.149902,244.8000031,1028.900024,858.7000122,174.7687988,589.5499878,1903.300049,974.4000244,334.7999878,570.8499756,1087.449951,1287.699951,20063.34961,905.7000122,296.8999939,1574.574951,35066.75
05-02-2018,629.3200073,566.0999756,1604.25,150,4608.399902,253.5500031,1033.25,880.3499756,173.7375488,591.5499878,1825.949951,956.9749756,331.6499939,569.1500244,1062.25,1297.75,19194.80078,904.4500122,297.7000122,1553.25,34757.16016
06-02-2018,616.7600098,564.0999756,1660.599976,149,4566.5,242.8999939,1002.950012,892.5499878,169.8750458,571.2999878,1788.900024,948.7249756,330.75,554.2249756,1033.550049,1243.599976,19830.5,892.75,291.5,1497.675049,34195.94141
07-02-2018,619.2399902,558.7000122,1641.300049,157.9499969,4559.350098,242.75,1011.799988,909.4500122,173.1375427,569.0999756,1784.900024,935.7000122,332.25,554.375,1034.949951,1322.550049,19328.09961,894,292.75,1477.675049,34082.71094
08-02-2018,626.6799927,568.5,1658.449951,157,4555.850098,242.4499969,1028.599976,906.8499756,173.2312927,579.5999756,1811.699951,940.0250244,334.5499878,567.2750244,1050,1321.400024,20644.30078,903.5999756,301.4500122,1483.125,34413.16016
09-02-2018,635.7999878,557.5,1639.550049,156.3500061,4508,243.6499939,1016.75,912.0499878,173.6437988,535.2000122,1773.199951,926.2999878,326.75,555.9000244,1032.599976,1308.25,21323.69922,897.9500122,296.3999939,1486.150024,34005.76172
12-02-2018,627.4400024,562.7999878,1643.150024,157.6999969,4496.600098,237.1999969,1035.5,903.25,174.1687927,535.3499756,1805.400024,938.2750244,326,551.9000244,1042.800049,1480.650024,22030.94922,914.7000122,288.5,1483.949951,34300.46875
14-02-2018,628.6799927,543.9500122,1669.949951,160.6999969,4545,235.3000031,1050.300049,887.1500244,175.0312958,530.4500122,1813.800049,942.1749878,318.5499878,549.0250244,1044.75,1464.849976,22690.19922,932.4000244,276.7999878,1455.224976,34155.94922
15-02-2018,615.2000122,543.75,1677.550049,157.0500031,4556.5,231.1499939,1048,874.5,178.0125427,529.6500244,1830,940.625,328.6000061,557.0750122,1040.900024,1459.599976,22544.05078,934.0499878,278.8500061,1462.875,34297.46875
16-02-2018,610.4000244,537.75,1672.849976,155.3999939,4473.100098,227.4499969,1048.650024,876.2000122,175.5937958,521,1816.099976,939.875,321,562.4249878,1051.75,1402.199951,22156.30078,921.7000122,271.75,1468.599976,34010.76172
19-02-2018,619.9199829,539.4500122,1641.5,153.3999939,4424.75,231.5500031,1016.400024,858.6500244,173.7375488,523.5,1811.300049,937.375,319.75,565,1056.5,1325.300049,22126.5,925.8499756,267.6499939,1462.275024,33774.66016
20-02-2018,615.4400024,531.7000122,1633.800049,153.6000061,4369.299805,233.1499939,1013.099976,852.9000244,174.5812988,523.9500122,1809.150024,931.8499756,317.6499939,567.3499756,1045,1267.449951,22713.25,919.4000244,269.6499939,1472.525024,33703.58984
21-02-2018,607.5200195,535.2000122,1598.599976,150.8999939,4280.399902,235,1008.5,857.25,174.6562958,524.9500122,1824.099976,929.6749878,319.2999878,574.3499756,1054.75,1365.800049,22729.40039,928.3499756,273.1000061,1521.525024,33844.85938
22-02-2018,607.3200073,530,1600.150024,146.4499969,4231.850098,230.0500031,1018.25,870.5999756,174.7312927,523.5499878,1817.75,927.4749756,318,580.25,1072.650024,1358.050049,22312,923.9000244,272.6000061,1520.199951,33819.5
23-02-2018,627.2399902,536.5499878,1630.25,151.1000061,4201.700195,232,1049.550049,880,171.8812866,534.2999878,1824.050049,939.9000244,321.2999878,577.8250122,1079.849976,1396.699951,22758.90039,934,276.1000061,1538.449951,34142.14844
26-02-2018,648.2399902,552.2999878,1670.599976,155.1999969,4286.5,232.3000031,1036.150024,886.7999878,173.7750397,537.5499878,1842.75,954.9749756,327,570.5250244,1105.550049,1408,22295.75,938.5999756,274.75,1517.625,34445.75
27-02-2018,696.2000122,537.5,1656.900024,152.6000061,4298.049805,232.0500031,1035,871.4500122,171.5625458,540.4000244,1827.449951,952.125,319.6499939,574.1500244,1092.650024,1387.5,22335.75,949.9500122,267.7999878,1521.625,34346.39063
28-02-2018,726.7600098,529.5999756,1642.099976,154.5500031,4275.200195,232.1000061,1023.299988,890.9000244,171.3937988,544.5499878,1814.75,941.9000244,313.5,587.125,1088.75,1387.650024,21854.75,952.4500122,268.75,1519.125,34184.03906
01-03-2018,701.3599854,526.0999756,1657.75,153.3999939,4296.450195,233,1017.25,884.7000122,169.9125366,544.5,1812.650024,938.875,305.25,580.125,1096.150024,1408.199951,21874.94922,947.7000122,262.5499878,1518.550049,34046.94141
05-03-2018,689.8800049,523.6500244,1638.849976,155.3000031,4265.049805,234.3000031,1010.200012,872.7999878,166.4062958,551.4000244,1790.5,936.0250244,303.1000061,576.5499878,1098.900024,1342.349976,21539.65039,924.2000122,263.7999878,1552.150024,33746.78125
06-03-2018,681.2000122,516.7999878,1637.599976,152.1999969,4291.25,234.5500031,1012,860.25,165.2812958,560.7999878,1762.050049,925.9749756,295.1000061,573.4249878,1082.099976,1308.699951,21046.40039,910.9000244,256.5,1524.900024,33317.19922
