Date,ASTRAL.NS,AXISBANK.NS,BAJFINANCE.NS,BLUEDART.NS,CROMPTON.NS,DIVISLAB.NS,ESCORTS.NS,GAIL.NS,GLENMARK.NS,HDFC.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,LTIM.NS,LTTS.NS,RELIANCE.NS,SBIN.NS,TATACOMM.NS,TCS.NS,^NSEI
2018-01-01,501.33013916015625,565.5,1725.6500244140625,4600.2998046875,270.6000061035156,1099.050048828125,774.3499755859375,124.66252899169922,596.0999755859375,1683.75,927.25,310.29998779296875,516.7750244140625,999.9500122070312,1145.4000244140625,1073.449951171875,901.2074584960938,307.1000061035156,677.9500122070312,1322.800048828125,
2018-01-02,497.7901306152344,559.5,1724.6500244140625,4587.25,277.79998779296875,1080.9000244140625,772.75,123.58753204345703,592.7999877929688,1703.25,936.1749877929688,309.70001220703125,514.8499755859375,1003.2000122070312,1149.0,1105.550048828125,902.5942993164062,303.25,670.75,1315.5999755859375,10442.2001953125
2018-01-03,491.0401306152344,560.4500122070312,1715.300048828125,4598.0498046875,280.1499938964844,1099.4000244140625,772.9500122070312,122.52503204345703,591.8499755859375,1700.800048828125,926.3250122070312,315.0,510.6499938964844,1000.0999755859375,1124.800048828125,1137.75,906.2100219726562,302.8500061035156,668.6500244140625,1319.324951171875,10443.2001953125
2018-01-04,486.6001281738281,559.9000244140625,1754.0,4631.64990234375,282.95001220703125,1106.550048828125,788.5499877929688,124.17503356933594,589.4000244140625,1703.199951171875,929.9500122070312,314.70001220703125,507.70001220703125,1000.4000244140625,1130.550048828125,1137.9000244140625,911.6583862304688,308.5,674.7000122070312,1328.550048828125,10504.7998046875
2018-01-05,494.6701354980469,563.25,1814.5,4728.0,279.0,1107.6500244140625,795.0999755859375,123.60002899169922,591.5999755859375,1725.199951171875,931.7999877929688,312.8999938964844,506.0,1003.0499877929688,1108.5,1128.25,914.5806884765625,306.3500061035156,672.2000122070312,1344.5999755859375,10558.849609375
2018-01-08,492.5401306152344,565.4500122070312,1836.8499755859375,4677.10009765625,273.95001220703125,1116.199951171875,778.75,124.35002899169922,600.4000244140625,1740.949951171875,930.2999877929688,314.1499938964844,518.0250244140625,1006.0999755859375,1118.050048828125,1111.3499755859375,919.8309326171875,305.79998779296875,678.0499877929688,1357.199951171875,10623.599609375
2018-01-09,509.43011474609375,565.2999877929688,1819.5,4581.9501953125,276.1000061035156,1089.300048828125,794.2999877929688,125.23753356933594,600.6500244140625,1735.050048828125,931.8499755859375,312.6000061035156,520.6749877929688,1009.75,1109.050048828125,1082.6500244140625,932.114501953125,304.29998779296875,680.6500244140625,1354.5,10637.0
2018-01-10,502.14013671875,562.7999877929688,1802.199951171875,4594.0,270.5,1079.300048828125,785.1500244140625,124.02503204345703,617.25,1726.449951171875,932.0999755859375,312.0,526.125,1002.25,1112.9000244140625,1075.300048828125,933.5013427734375,301.1000061035156,673.4500122070312,1403.300048828125,10632.2001953125
2018-01-11,507.2101135253906,558.75,1780.3499755859375,4682.7001953125,272.6499938964844,1101.550048828125,813.1500244140625,123.87503051757812,627.0,1741.3499755859375,936.2750244140625,309.5,537.9000244140625,1017.6500244140625,1118.0999755859375,1054.9000244140625,928.9445190429688,302.20001220703125,675.0499877929688,1395.25,10651.2001953125
2018-01-12,501.7501220703125,555.0999755859375,1770.0999755859375,4730.35009765625,272.25,1093.800048828125,812.9000244140625,125.28752899169922,625.8499755859375,1760.949951171875,932.6500244140625,317.70001220703125,539.2249755859375,1023.3499755859375,1124.6500244140625,1043.800048828125,940.0888671875,302.25,677.1500244140625,1388.175048828125,10681.25
2018-01-15,504.0901184082031,560.5499877929688,1738.1500244140625,4787.5,265.75,1078.3499755859375,804.1500244140625,122.31253051757812,624.4000244140625,1871.199951171875,948.875,329.29998779296875,540.5750122070312,1038.3499755859375,1122.25,1043.050048828125,940.2374877929688,302.6000061035156,673.2999877929688,1373.050048828125,10741.5498046875
2018-01-16,498.0001220703125,563.2000122070312,1687.3499755859375,4737.64990234375,274.75,1092.75,793.0999755859375,119.60002899169922,625.8499755859375,1845.949951171875,950.0750122070312,334.1000061035156,561.4249877929688,1033.25,1095.050048828125,1011.6500244140625,914.2835083007812,296.1499938964844,651.8499755859375,1425.425048828125,10700.4501953125
2018-01-17,504.81011962890625,585.2000122070312,1701.199951171875,4735.7998046875,269.3999938964844,1107.550048828125,795.7000122070312,120.13752746582031,630.9000244140625,1858.3499755859375,945.25,343.25,576.0499877929688,1027.0999755859375,1115.9000244140625,997.4000244140625,915.8189697265625,307.1000061035156,645.5999755859375,1444.4749755859375,10788.5498046875
2018-01-18,502.44012451171875,584.7999877929688,1660.699951171875,4707.2001953125,265.25,1090.4000244140625,757.0499877929688,117.12503051757812,625.75,1896.800048828125,967.1500244140625,346.1499938964844,576.3499755859375,1046.5,1091.0999755859375,983.8499755859375,911.0640258789062,303.25,634.0999755859375,1459.0999755859375,10817.0
2018-01-19,502.5001220703125,590.25,1701.9000244140625,4645.5,262.54998779296875,1098.300048828125,772.4500122070312,117.18753051757812,624.2999877929688,1901.25,976.0999755859375,353.6000061035156,571.7249755859375,1060.550048828125,1118.4000244140625,996.7999877929688,922.5551147460938,309.25,633.8499755859375,1479.6500244140625,10894.7001953125
