,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,ASTRAL.NS,BEL.BO,BLUEDART.BO,CROMPTON.NS,DIVISLAB.NS,ESCORTS.BO,GLENMARK.NS,PAGEIND.BO,SVT1.SG,TATACOMM.NS,ASTRAL.NS,BEL.BO,BLUEDART.BO,CROMPTON.NS,DIVISLAB.NS,ESCORTS.BO,GLENMARK.NS,PAGEIND.BO,SVT1.SG,TATACOMM.NS,ASTRAL.NS,BEL.BO,BLUEDART.BO,CROMPTON.NS,DIVISLAB.NS,ESCORTS.BO,GLENMARK.NS,PAGEIND.BO,SVT1.SG,TATACOMM.NS,ASTRAL.NS,BEL.BO,BLUEDART.BO,CROMPTON.NS,DIVISLAB.NS,ESCORTS.BO,GLENMARK.NS,PAGEIND.BO,SVT1.SG,TATACOMM.NS,ASTRAL.NS,BEL.BO,BLUEDART.BO,CROMPTON.NS,DIVISLAB.NS,ESCORTS.BO,GLENMARK.NS,PAGEIND.BO,SVT1.SG,TATACOMM.NS,ASTRAL.NS,BEL.BO,BLUEDART.BO,CROMPTON.NS,DIVISLAB.NS,ESCORTS.BO,GLENMARK.NS,PAGEIND.BO,SVT1.SG,TATACOMM.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,498.7502746582031,172.21376037597656,4484.08837890625,258.75787353515625,1058.6845703125,762.1821899414062,581.5828857421875,24051.392578125,,641.9541015625,501.33013916015625,181.64999389648438,4604.10009765625,270.6000061035156,1099.050048828125,774.5,596.0999755859375,25110.44921875,,677.9500122070312,511.7701416015625,184.0,4610.0,280.0,1119.949951171875,796.7000122070312,603.7999877929688,25700.0,,689.0,499.20013427734375,181.35000610351562,4561.25,269.0,1090.0999755859375,770.5999755859375,594.0,24958.650390625,,675.0,510.0001220703125,183.75,4570.0,275.5,1095.0,787.0,596.1500244140625,25488.0,,680.4000244140625,18783.0,156926.0,32.0,139572.0,429620.0,138740.0,512502.0,744.0,,340111.0
2018-01-02,495.2284851074219,171.78712463378906,4462.36865234375,265.6427917480469,1041.2012939453125,760.6567993164062,578.36328125,23402.37109375,19.86330223083496,635.1364135742188,497.7901306152344,181.1999969482422,4581.7998046875,277.79998779296875,1080.9000244140625,772.9500122070312,592.7999877929688,24432.849609375,23.867000579833984,670.75,509.94012451171875,183.60000610351562,4601.2998046875,281.54998779296875,1109.449951171875,786.0,602.5999755859375,25229.75,24.22100067138672,682.5499877929688,496.2601318359375,180.8000030517578,4561.7001953125,270.1499938964844,1073.449951171875,764.0,588.5,24199.0,23.822999954223633,668.3499755859375,509.94012451171875,182.0,4601.2998046875,272.0,1100.0,780.0,593.0999755859375,25125.0,24.10700035095215,678.9500122070312,27408.0,434997.0,131.0,339765.0,413942.0,117915.0,570711.0,506.0,0.0,340443.0
2018-01-03,488.51318359375,171.6449432373047,4462.271484375,267.88995361328125,1059.0216064453125,760.164794921875,577.4363403320312,23527.60546875,19.832509994506836,633.14794921875,491.0401306152344,181.0500030517578,4581.7001953125,280.1499938964844,1099.4000244140625,772.4500122070312,591.8499755859375,24563.599609375,23.829999923706055,668.6500244140625,503.94012451171875,183.5500030517578,4605.89990234375,283.75,1115.949951171875,782.3499755859375,595.0,24846.0,23.940000534057617,677.75,485.43011474609375,180.64999389648438,4577.0,272.1499938964844,1080.0999755859375,770.2000122070312,588.0999755859375,24425.0,23.790000915527344,667.0,497.4001159667969,183.0,4580.0498046875,278.0,1080.5,779.9000244140625,592.0999755859375,24425.0,23.940000534057617,672.5499877929688,29463.0,126277.0,293.0,388424.0,768114.0,240552.0,349314.0,772.0,0.0,430050.0
2018-01-04,484.0959777832031,170.64947509765625,4504.68603515625,270.56744384765625,1065.9091796875,775.2215576171875,575.0460205078125,23488.048828125,19.666061401367188,638.876708984375,486.6001281738281,180.0,4625.25,282.95001220703125,1106.550048828125,787.75,589.4000244140625,24522.30078125,23.6299991607666,674.7000122070312,492.7201232910156,181.9499969482422,4640.0,295.0,1112.25,796.0,593.5499877929688,24857.150390625,23.760000228881836,676.0,486.0001220703125,179.25,4580.0,277.04998779296875,1092.0,770.75,583.0499877929688,24128.44921875,23.6299991607666,666.9500122070312,491.5801086425781,179.25,4580.0,280.1499938964844,1106.9000244140625,771.0,592.0,24750.0,23.729999542236328,672.8499755859375,54213.0,306548.0,1078.0,821871.0,450896.0,264417.0,557391.0,831.0,0.0,291534.0
2018-01-05,492.1245422363281,172.73519897460938,4562.2939453125,266.7902526855469,1066.9688720703125,781.5689086914062,577.1924438476562,23450.259765625,19.973995208740234,636.5094604492188,494.6701354980469,182.1999969482422,4684.39990234375,279.0,1107.6500244140625,794.2000122070312,591.5999755859375,24482.849609375,24.0,672.2000122070312,497.9101257324219,183.5,4755.0,289.1499938964844,1123.5,804.9500122070312,596.0,24751.349609375,24.040000915527344,681.0,481.20013427734375,180.5,4620.0,277.1000061035156,1102.050048828125,791.5499877929688,587.7999877929688,24417.400390625,23.68000030517578,670.0499877929688,487.20013427734375,180.5,4640.0,284.6499938964844,1105.800048828125,792.7000122070312,590.0,24595.650390625,23.68000030517578,677.9000244140625,62431.0,341275.0,1536.0,253992.0,568810.0,175277.0,823697.0,10951.0,0.0,447487.0
2018-01-08,490.0054626464844,174.4416961669922,4565.11865234375,261.9613037109375,1075.2047119140625,768.03759765625,585.7781982421875,23383.837890625,19.91573715209961,642.0487670898438,492.5401306152344,184.0,4687.2998046875,273.95001220703125,1116.199951171875,780.4500122070312,600.4000244140625,24413.5,23.93000030517578,678.0499877929688,496.7701110839844,185.14999389648438,4770.0,281.0,1135.4000244140625,798.4500122070312,612.0,24595.349609375,23.93000030517578,681.5,483.2401123046875,182.75,4650.0,273.04998779296875,1107.6500244140625,777.2999877929688,592.5,24321.099609375,23.93000030517578,671.0,494.4001159667969,183.89999389648438,4745.0,278.0,1107.6500244140625,794.2000122070312,594.9000244140625,24450.05078125,23.93000030517578,675.9500122070312,57351.0,739979.0,484.0,251347.0,468360.0,220554.0,2203458.0,412.0,0.0,390232.0
2018-01-09,506.8085021972656,173.01959228515625,4464.95068359375,264.0171813964844,1049.292724609375,781.2737426757812,586.0220947265625,23192.9375,19.449678421020508,644.5107421875,509.43011474609375,182.5,4584.4501953125,276.1000061035156,1089.300048828125,793.9000244140625,600.6500244140625,24214.19921875,23.3700008392334,680.6500244140625,520.8001098632812,184.89999389648438,4684.14990234375,280.45001220703125,1127.9000244140625,801.9000244140625,607.3499755859375,24646.80078125,23.959999084472656,694.4500122070312,488.2201232910156,182.39999389648438,4550.0,274.3500061035156,1083.5999755859375,777.7999877929688,599.75,24128.44921875,23.3700008392334,674.7000122070312,495.6001281738281,184.14999389648438,4670.0,275.0,1116.199951171875,780.0999755859375,601.0,24415.0,23.959999084472656,679.0,286864.0,192161.0,208.0,3363282.0,639168.0,150016.0,738487.0,483.0,0.0,654484.0
2018-01-10,499.5560302734375,170.5072784423828,4467.96826171875,258.6622619628906,1039.6600341796875,771.9248657226562,602.2178344726562,22001.072265625,19.24161148071289,637.6930541992188,502.14013671875,179.85000610351562,4587.5498046875,270.5,1079.300048828125,784.4000244140625,617.25,22969.849609375,23.1200008392334,673.4500122070312,515.7901000976562,183.60000610351562,4626.0,277.79998779296875,1115.0,798.9000244140625,624.0,24250.05078125,23.329999923706055,685.9000244140625,501.0001220703125,179.25,4563.2001953125,268.29998779296875,1074.6500244140625,783.1500244140625,602.0499877929688,22761.349609375,23.110000610351562,672.0,515.7901000976562,182.5,4626.0,277.6000061035156,1085.0,794.2000122070312,602.0499877929688,24250.05078125,23.229999542236328,682.7999877929688,56098.0,185404.0,119.0,204270.0,807750.0,44430.0,4259613.0,936.0,0.0,421084.0
