Date,ASIANPAINT.NS,BAJFINANCE.NS,HDFC.NS,KOTAKBANK.NS,MARUTI.NS,RELIANCE.NS,TCS.NS,TITAN.NS,UPL.NS,WIPRO.NS,NSE Index
01-01-2018,1143.650024,1725.650024,1683.75,999.9500122,9651.900391,901.2074585,1322.800049,852.4500122,503.8333435,237.4125519,10477.54981
02-01-2018,1142.75,1724.650024,1703.25,1003.200012,9554.049805,902.5942993,1315.599976,845.1500244,515.6333618,239.0250549,10482.65039
03-01-2018,1141.900024,1715.300049,1700.800049,1000.099976,9416.599609,906.210022,1319.324951,856.2999878,517.2000122,232.4625549,10469.40039
04-01-2018,1172.050049,1754,1703.199951,1000.400024,9386.25,911.6583862,1328.550049,892.9000244,521.0999756,233.7375641,10534.25
05-01-2018,1185.25,1814.5,1725.199951,1003.049988,9433.849609,914.5806885,1344.599976,909.7000122,516.1333618,232.1625519,10591.7002
08-01-2018,1182,1836.849976,1740.949951,1006.099976,9448.950195,919.8309326,1357.199951,926.0999756,522.9000244,233.3625641,10645.09961
09-01-2018,1193.050049,1819.5,1735.050049,1009.75,9383.549805,932.114502,1354.5,932.9500122,527.0666504,237.9000549,10652.04981
10-01-2018,1177.400024,1802.199951,1726.449951,1002.25,9375.849609,933.5013428,1403.300049,917.5999756,519.2333374,245.0250549,10637.04981
11-01-2018,1188.949951,1780.349976,1741.349976,1017.650024,9339.799805,928.944519,1395.25,906.9000244,524.1333618,240.825058,10682.54981
12-01-2018,1189.699951,1770.099976,1760.949951,1023.349976,9459.150391,940.0888672,1388.175049,903.7999878,516.9000244,239.1000519,10718.5
15-01-2018,1204.050049,1738.150024,1871.199951,1038.349976,9358.450195,940.2374878,1373.050049,918.25,516.2333374,236.250061,10761.5
16-01-2018,1188.75,1687.349976,1845.949951,1033.25,9322.049805,914.2835083,1425.425049,889.4000244,511.2333374,248.9625549,10702.4502
17-01-2018,1193.75,1701.199951,1858.349976,1027.099976,9313.900391,915.8189697,1444.474976,893.0999756,520.5,244.2750549,10873.40039
18-01-2018,1188.25,1660.699951,1896.800049,1046.5,9368.700195,911.0640259,1459.099976,885.8499756,533.666687,244.012558,10829.2002
19-01-2018,1189.900024,1701.900024,1901.25,1060.550049,9323.950195,922.5551147,1479.650024,891.4500122,534.9000244,246.7125549,10883.2002
22-01-2018,1176,1706.349976,1872,1074.099976,9310.099609,962.3776245,1558.199951,909.75,542.4000244,241.1625671,10997.40039
23-01-2018,1169.900024,1708.699951,1884.650024,1075.449951,9393.400391,974.0172729,1551,905.7000122,538.166687,236.437561,11069.34961
24-01-2018,1151.050049,1739.150024,1911.199951,1080.099976,9434.950195,957.276001,1587.300049,886.9000244,549.5,235.4625549,11095.59961
25-01-2018,1150.449951,1710.300049,1908.300049,1092.349976,9278.200195,956.8302002,1560.525024,884.0999756,512.6333618,233.9625549,11079.34961
29-01-2018,1152.050049,1715.300049,1967.599976,1115.099976,9630.700195,955.4433594,1599.425049,896.2000122,525.666687,233.3625641,11120.84961
30-01-2018,1126.699951,1678.400024,1937.5,1088.050049,9571.549805,941.475769,1576.425049,884.1500244,513.833313,230.4750519,11018.79981
31-01-2018,1128.300049,1677.849976,1956.300049,1108.949951,9509.700195,952.2733765,1556.175049,869.5499878,501.3666687,228.5250549,11044.54981
01-02-2018,1153,1729.449951,1967.550049,1120.949951,9401.849609,934.9872437,1569.300049,831,505.8999939,225.562561,10938.2002
02-02-2018,1137.900024,1628.900024,1903.849976,1085.949951,8990.599609,895.8581543,1576.824951,822.2000122,488.7000122,225.450058,10604.29981
05-02-2018,1134.099976,1604.949951,1823.349976,1062.25,9080.599609,893.678833,1551.599976,802.2999878,481.6666565,224.062561,10295.15039
06-02-2018,1110.25,1662.150024,1788.599976,1033.800049,8984.599609,883.7232056,1498.625,782.6500244,466.7000122,220.9875488,10607.2002
07-02-2018,1121.099976,1641.650024,1785.349976,1036.300049,8921.799805,886.0015869,1477.525024,783.6500244,467.5,217.012558,10518.5
08-02-2018,1124.050049,1662.150024,1811.800049,1051.75,9030.700195,896.0562744,1487.099976,800.75,478.7000122,217.3500519,10416.5
09-02-2018,1130.75,1639.400024,1773.050049,1032,8936.099609,889.4191895,1485.849976,796.7999878,472.2333374,213.7500458,10518.2002
12-02-2018,1144.400024,1643.800049,1805.449951,1042.949951,9117.849609,906.9034424,1483.650024,809.0499878,484.3333435,216.7125549,10585.75
14-02-2018,1139.150024,1669.949951,1814,1042.449951,9001.599609,924.8830566,1455.900024,813.7000122,481.2666626,220.0875549,10537.90039
15-02-2018,1135.449951,1677.050049,1829.5,1042.150024,9020.25,926.8642578,1462.925049,814.8499756,477.3999939,219.375061,10596.2002
16-02-2018,1143.849976,1675.25,1815.5,1050.199951,8836.950195,912.6489868,1466.525024,803.2000122,469.0666809,218.250061,10488.90039
19-02-2018,1120.349976,1642.699951,1814.050049,1056.199951,8724.849609,918.2954712,1461.800049,803.9500122,467.5333252,217.4625549,10391
20-02-2018,1126.400024,1638.75,1811.75,1045.800049,8722.650391,912.4508667,1472.375,832.25,463.5666809,218.5875549,10426
21-02-2018,1127.199951,1596.449951,1824.800049,1055.050049,8782.75,920.6234131,1521.150024,822.9000244,458.8333435,219.1500549,10354.34961
22-02-2018,1118.099976,1600.349976,1819.25,1072.5,8634.049805,915.6703491,1525.099976,817.5,450.2999878,219.4875488,10408.09961
23-02-2018,1101.800049,1633.400024,1824.199951,1080.849976,8698.799805,925.477417,1537.900024,814.2000122,467.0333252,221.250061,10526.54981
26-02-2018,1104.800049,1674.949951,1843.25,1105.150024,9005.349609,929.8856201,1515.849976,819.7000122,480.3333435,218.700058,10615.2002
27-02-2018,1110.349976,1656.800049,1828.650024,1093.050049,8891.200195,941.5748291,1521.175049,822.5999756,480.7666626,218.812561,10488.9502
28-02-2018,1117.75,1640.25,1808.699951,1090.550049,8850.950195,945.586792,1517.525024,816.1500244,485.8333435,219.6000519,10479.9502
01-03-2018,1118.900024,1659.349976,1814.150024,1095.699951,8873.450195,939.4945068,1518.849976,810.2000122,476.1666565,219.375061,10428.29981
05-03-2018,1105.949951,1636.949951,1789.599976,1100,8795.099609,915.4227295,1552.925049,808.9000244,480.6000061,218.2125549,10420.5
06-03-2018,1101.599976,1637.75,1782.800049,1082.449951,8616.5,902.2971191,1521.400024,807.6500244,468.2666626,215.2125549,10232.9502
07-03-2018,1107.25,1618.349976,1761.75,1085.099976,8679.099609,881.3952637,1513.724976,814.8499756,468,214.012558,10216.25
08-03-2018,1127.599976,1628.050049,1798.75,1082.300049,8729.349609,902.8914795,1501.974976,817.7000122,473.8666687,213.9000549,10271.29981
09-03-2018,1129.099976,1654.199951,1818.599976,1082.449951,8660.599609,904.526001,1517.050049,819.0999756,474.7666626,213.7875519,10301.59961
12-03-2018,1131.5,1665.25,1858.050049,1100.599976,8810.299805,921.5645142,1526.074951,829.0999756,478.6333313,218.0250549,10389.5
13-03-2018,1140.300049,1680.699951,1868.5,1083.900024,8756.049805,923.0999146,1443.400024,851.9500122,481.8666687,222.450058,10393.04981
14-03-2018,1137,1710.099976,1844.699951,1081.75,8846.299805,920.3262329,1443.449951,865,478.8999939,220.387558,10405.4502
15-03-2018,1160.800049,1726.25,1830,1085.650024,8837.549805,903.2382202,1434.849976,872.5,480.7666626,220.0500488,10345.15039
16-03-2018,1122.75,1687.900024,1791.400024,1060.75,8676.549805,891.5985107,1412.849976,879.25,479.7999878,221.812561,10215.34961
19-03-2018,1102.550049,1631.849976,1774.5,1049,8773.5,887.0912476,1415.5,869,467.8999939,216.4875488,10051.54981
20-03-2018,1106.5,1657.300049,1800.050049,1045.300049,8802.400391,881.4447632,1432.425049,871.75,474.8666687,220.200058,10181.9502
21-03-2018,1103.550049,1704.550049,1817.849976,1051.099976,8874.650391,888.4780884,1428.375,872.25,476.6000061,221.437561,10167.5
22-03-2018,1107.099976,1695.599976,1809.550049,1053.050049,8696.549805,899.6224976,1415.675049,887.5499878,477.9333191,216.3375549,9968.799805
23-03-2018,1112.650024,1685.300049,1789.599976,1038.800049,8607.25,885.5062866,1409.074951,895.0499878,469.8333435,213.4875488,9989.150391
26-03-2018,1117.550049,1741.599976,1830.150024,1039.349976,8765.299805,892.6386719,1408.5,939.0499878,482.9333191,205.5000458,10188
27-03-2018,1131.099976,1772.449951,1823.150024,1049.849976,8852.299805,891.3508911,1423.849976,942.4000244,491.2000122,205.5375519,10143.59961
28-03-2018,1120.400024,1767.550049,1825.599976,1047.800049,8861.099609,874.411438,1424.574951,942.2999878,486.8333435,210.8625488,10151.65039
02-04-2018,1150.150024,1818.599976,1838.050049,1096.550049,9008.200195,884.5651855,1454.824951,944.0999756,501.6000061,217.2375488,10186.84961
03-04-2018,1152.099976,1834.25,1825.699951,1103.300049,9026.450195,891.1032104,1455.625,931.9500122,510.4333191,212.9250488,10274.59961
04-04-2018,1136,1850.199951,1803.300049,1078.300049,9013.5,886.4968872,1455.449951,904.3499756,488.3333435,211.200058,10228.4502
05-04-2018,1142.900024,1915.599976,1824.449951,1118.300049,9132.599609,899.6719971,1478.974976,920.0499878,504.6333313,214.6875458,10322.75
06-04-2018,1143.5,1937.599976,1829,1119.199951,9206.200195,902.4457397,1475.150024,940.2999878,502.1333313,212.9625549,10333.7002
09-04-2018,1157.449951,1944.25,1836.699951,1118.25,9292.650391,907.3987427,1461.949951,960.6500244,500.7999878,213.7875519,10412.90039
10-04-2018,1156.75,1926.050049,1817.5,1113.650024,9273.450195,908.4389038,1468.800049,962.25,501.1333313,214.5000458,10428.15039
11-04-2018,1155.849976,1924.650024,1812.400024,1126.099976,9302.5,922.109314,1507.074951,979.9500122,497.0333252,214.2750549,10410.65039
12-04-2018,1165.199951,1929.349976,1829.050049,1134.599976,9204.450195,919.9794922,1569.625,976.0499878,498.6000061,215.137558,10495.29981
13-04-2018,1162.199951,1914.349976,1840.599976,1151.099976,9123.950195,930.0341797,1576.650024,987.1500244,498.0666809,220.6125488,10398.29981
16-04-2018,1178.849976,1943.300049,1870.449951,1172.099976,9232,928.2510986,1593.824951,980.5,509.0666809,217.4250488,10557.29981
17-04-2018,1176,1935.050049,1889.699951,1164.849976,9160.349609,935.3834839,1583.300049,997.5999756,505.0333252,213.5625458,10578.90039
18-04-2018,1172.300049,1926.849976,1877.699951,1153.949951,9121.5,929.1921997,1579.550049,977.0999756,505.0666809,219.4875488,10563.65039
19-04-2018,1165,1913.300049,1858.650024,1153.900024,9077.650391,933.4517822,1595.574951,952.75,512.5999756,219.3375549,10560.34961
