Date,AXISBANK.BO,BEL.BO,FINCABLES.BO,HDFC.BO,HDFCBANK.BO,RELIANCE.BO,SBILIFE.BO,SKFINDIA.BO,SPICEJET.BO,TCS.BO,BSE Index
28-02-2018,529.5999756,154.5500031,715.9000244,1814.75,941.9000244,952.4500122,692.2999878,1781.099976,138.0500031,1519.125,34155.63
01-03-2018,526.0999756,153.3999939,705.25,1812.650024,938.875,947.7000122,689.4000244,1767.900024,138,1518.550049,34141.22
05-03-2018,523.6500244,155.3000031,691.1500244,1790.5,936.0250244,924.2000122,673,1746.099976,134.3000031,1552.150024,34034.28
06-03-2018,516.7999878,152.1999969,697.0499878,1762.050049,925.9749756,910.9000244,652.9000244,1718.300049,131.1499939,1524.900024,34047.43
07-03-2018,512.7999878,148.6999969,695.6500244,1761.849976,917.2249756,891.5499878,650.3499756,1700.599976,124.0500031,1514.625,33279.39
08-03-2018,520.1500244,147.5,709.4000244,1797.5,925.7249756,911.5999756,651.4500122,1719.550049,133.0500031,1500.75,33244.52
09-03-2018,505.3500061,148.4499969,697.4000244,1818.449951,926.5999756,912.0499878,669.5,1748.050049,136.0500031,1517.25,33465.05
12-03-2018,519.2000122,150.3999939,704.5999756,1854.949951,933.3499756,929.3499756,674.1500244,1728.949951,134.9499969,1525.925049,33468.16
13-03-2018,530.7999878,151.3999939,708.25,1863.25,929.9500122,930.5999756,679.5499878,1739.550049,135.8500061,1446.224976,33818.22
14-03-2018,535.5499878,151.4499969,691.9000244,1846.300049,932.6749878,928.5999756,672.7999878,1730,135.4499969,1443.050049,33733.55
15-03-2018,528.9500122,151.6499939,681.25,1830.099976,940.0499878,912.25,672.8499756,1735.550049,133.6499939,1434.574951,33843.47
16-03-2018,523.4500122,149.3500061,679.0999756,1790.800049,928.75,900.5,666.3499756,1719.75,135.0500031,1412.75,33685.86
19-03-2018,520.25,148.4499969,660.75,1775.449951,924.8250122,895.2999878,674.0499878,1714.800049,135.8500061,1414.425049,33268.97
20-03-2018,520.9000244,149.5,647.25,1800,919.5999756,889.5499878,686,1713.550049,137,1429.574951,32876.48
21-03-2018,525.3499756,148.25,648.4500122,1818.849976,928.8250122,896.3499756,671.0499878,1719.050049,136.4499969,1427.300049,33090.82
22-03-2018,518.2999878,143.4499969,637.1500244,1808.550049,934.1500244,907.2999878,663.9000244,1706.199951,132.1999969,1414.974976,33206.99
23-03-2018,501,139.8000031,630.8499756,1785.150024,919.7999878,892.8499756,663.5999756,1674.199951,127.9000015,1408.224976,32650.89
26-03-2018,507.5,142.75,646.5999756,1832.599976,946.5750122,901.0499878,662.25,1709.900024,125.25,1406.525024,32536.44
27-03-2018,511.25,143.1000061,656.9000244,1821.949951,946.5999756,899.9500122,672.0999756,1751.050049,125.9499969,1420.925049,33172.98
28-03-2018,509.3999939,142.0500031,669.2999878,1824.400024,945.7249756,882.7999878,673.4500122,1742.650024,125.1500015,1424.650024,33098.09
02-04-2018,498.2000122,144.6499939,685.4000244,1838.099976,965.2249756,892.7000122,683.5,1791.75,125.8499985,1451.449951,33030.87
03-04-2018,503.2999878,146.6499939,696.5499878,1830.099976,958.0499878,898.7999878,679.2999878,1811.949951,131.75,1454.050049,33197.42
04-04-2018,490.1499939,143.8500061,691.7999878,1803.25,942.4000244,895.0999756,676.7999878,1804.349976,132.5,1453.525024,33437.52
05-04-2018,503.1499939,145.3500061,701.8499756,1822.699951,953.8499756,906.75,676.2000122,1810.699951,135.3999939,1478.574951,33289.96
06-04-2018,500.7000122,144.5500031,698.0999756,1829.599976,961.3499756,909.75,678.9500122,1810.449951,138.1000061,1474.849976,33608.59
09-04-2018,517.9000244,144.5,698.2999878,1836.599976,969.25,916.0499878,676.6500244,1856.050049,140.6499939,1460.574951,33653.61
10-04-2018,546,145.4499969,688,1821.75,959.5499878,916.4500122,692.75,1865,136.25,1465.925049,33880.11
11-04-2018,539.5,144.9499969,718.3499756,1813.699951,958.125,929.0499878,716.5499878,1886.699951,135.0500031,1507.75,33970.35
12-04-2018,548.2999878,147.1499939,694.0499878,1828.400024,963.1500244,927.5499878,718.75,1871.099976,135.6000061,1568.650024,33987.55
13-04-2018,541.9000244,142.5,695.2000122,1840.599976,964.0250244,938.8499756,712.3499756,1870.800049,135.0500031,1575.5,34167.53
16-04-2018,542.2000122,139.0500031,695.9500122,1870.699951,969.3250122,937.25,709,1897.400024,132.8500061,1592.400024,33944.73
17-04-2018,532.5499878,139,694.2000122,1889.949951,973.7000122,943.7000122,720.25,1909.199951,137.1999969,1582.949951,34381.8
18-04-2018,518.7000122,138.8500061,691.8499756,1876.599976,968.5250244,937,719.9500122,1902.75,136.1499939,1579.75,34443.42
19-04-2018,513.5,135.9499969,694.2999878,1864.449951,970.9749756,941.25,719.25,1894.199951,134.1000061,1595.324951,34403.67
20-04-2018,505.8500061,132.25,691,1831.650024,980.4749756,928.0499878,713.5,1858.699951,136.1499939,1703.199951,34434.14
23-04-2018,506.4500122,137.3500061,689.2999878,1831,966.5250244,935.1500244,715.1500244,1840.25,136.6499939,1707.599976,34493.69
24-04-2018,505.25,135.8999939,693.9000244,1853.349976,968,969.75,744.5999756,1835.5,135.0500031,1692.824951,34491.38
25-04-2018,498.3999939,132.8000031,692.75,1849.349976,958.5999756,970.7000122,765.6500244,1832.150024,130.3000031,1733.949951,34593.17
26-04-2018,494.5499878,131.1000061,701.8499756,1855.949951,965.1500244,975.3499756,762.3499756,1853.150024,128.8999939,1770.175049,34532.95
27-04-2018,538.9000244,133.1999969,702.0499878,1857.849976,961.4249878,994.75,758.4000244,1842.349976,127.3499985,1727.400024,34747.04
30-04-2018,518.0499878,131.3999939,698.4500122,1884.650024,972.2999878,963.0999756,742.5,1875,129.6999969,1765.699951,35021.2
02-05-2018,523.4500122,130.1999969,691.6500244,1910.5,985.1749878,973,746.0999756,1849.400024,131.8999939,1748.900024,35328.91
03-05-2018,532.4000244,128.6999969,690,1922.900024,983.7750244,962.5999756,730.9000244,1838.650024,123.8000031,1741.324951,35257.31
04-05-2018,520.2999878,129.6000061,681.9500122,1912.050049,993.9249878,953.9000244,701.0499878,1831.849976,126.25,1740.425049,35144.96
07-05-2018,534.9500122,131.25,677.9000244,1914,989.875,971.8499756,701.5499878,1840.300049,123.9499969,1713.849976,34983.59
08-05-2018,541.25,131.8500061,679.25,1904.800049,983.2999878,967.6500244,700.7999878,1867,122.3499985,1720.525024,35349.85
09-05-2018,548.5999756,132.3999939,684.2999878,1896.300049,989.5,975.2999878,696.0999756,1820.099976,121.4000015,1744.525024,35198.08
10-05-2018,547.6500244,129.8500061,682.6500244,1895.949951,994.8499756,980.7000122,712,1786.199951,119.4000015,1726.375,35353.96
11-05-2018,553.2000122,127.9499969,682,1921.199951,1005.325012,988.5,697.5499878,1797.449951,118.8000031,1730.300049,35287.99
14-05-2018,552.25,125.5500031,685.4000244,1929.900024,1010.599976,984.8499756,692.9000244,1785.199951,118.9499969,1718.375,35555.83
15-05-2018,549.4500122,120.6999969,683,1929.900024,1019.599976,979.3499756,678,1775.949951,114.1999969,1741.224976,35537.85
